ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
9798,0h 13m 10s,5/13/2011 9:00,King St E / Jarvis St,7009,5/13/2011 9:13,Widmer St / Adelaide St ,7017,T01621,M5A2S8,Casual
10003,0h 11m 2s,5/13/2011 12:30,King St E / Jarvis St,7009,5/13/2011 12:41,Jarvis St / Carleton St,7055,T01721,M4Y 2X3,Casual
10029,0h 4m 4s,5/13/2011 12:59,King St E / Jarvis St,7009,5/13/2011 13:03,Bond St / Queen St E,7045,T01925,,Casual
10193,0h 9m 10s,5/13/2011 15:21,King St E / Jarvis St,7009,5/13/2011 15:30,Granby St / Yonge St,7077,T01080,M5R1S9,Casual
10468,0h 9m 50s,5/13/2011 17:45,King St E / Jarvis St,7009,5/13/2011 17:55,Lower Jarvis St / The Esplanade,7001,T01693,M5A 3R3,Casual
10515,0h 13m 57s,5/13/2011 18:02,King St E / Jarvis St,7009,5/13/2011 18:16,Ted Rogers Way / Bloor St E,7025,T02010,M5V1Y5,Casual
10648,0h 15m 40s,5/13/2011 19:13,King St E / Jarvis St,7009,5/13/2011 19:28,King St E / Jarvis St,7009,T01956,M5C2V8,Casual
10769,0h 9m 59s,5/13/2011 20:18,King St E / Jarvis St,7009,5/13/2011 20:28,Front/Yonge (Hockey Hall of Fame),7048,T01340,L6H 4C4,Casual
10825,0h 4m 12s,5/13/2011 22:03,King St E / Jarvis St,7009,5/13/2011 22:07,Scott St / The Esplanade,7013,T01956,M5E 1A1,Casual
10826,0h 20m 8s,5/13/2011 22:05,King St E / Jarvis St,7009,5/13/2011 22:26,Augusta Ave / Dundas St W,7032,T01038,M6J 2G6,Subscriber
10828,0h 19m 32s,5/13/2011 22:06,King St E / Jarvis St,7009,5/13/2011 22:26,Augusta Ave / Dundas St W,7032,T01540,M6J 2G6,Casual
10952,0h 2m 45s,5/14/2011 8:44,King St E / Jarvis St,7009,5/14/2011 8:46,Melinda St / Yonge St,7036,T01833,M4V2B4,Casual
10970,0h 8m 45s,5/14/2011 9:26,King St E / Jarvis St,7009,5/14/2011 9:35,Bay St / Albert St,7021,T01692,,Casual
11005,0h 8m 11s,5/14/2011 10:33,King St E / Jarvis St,7009,5/14/2011 10:42,Church St / Alexander St,7044,T01627,M5C2V8,Casual
11163,0h 13m 6s,5/14/2011 13:15,King St E / Jarvis St,7009,5/14/2011 13:28,Dundas / Yonge St.,7038,T01373,,Casual
11162,0h 13m 40s,5/14/2011 13:15,King St E / Jarvis St,7009,5/14/2011 13:29,Dundas / Yonge St.,7038,T01739,,Casual
11270,0h 11m 17s,5/14/2011 14:52,King St E / Jarvis St,7009,5/14/2011 15:04,King St W / Spadina Ave,7010,T01915,M5V 2L5,Casual
11305,0h 7m 56s,5/14/2011 15:14,King St E / Jarvis St,7009,5/14/2011 15:22,Dundas / Yonge St.,7038,T01417,,Casual
11343,0h 0m 36s,5/14/2011 16:46,King St E / Jarvis St,7009,5/14/2011 16:47,King St E / Jarvis St,7009,T01184,M5A 4M5,Casual
11344,0h 12m 29s,5/14/2011 16:47,King St E / Jarvis St,7009,5/14/2011 17:00,Queen St W / Spadina Ave,7069,T01662,M5A 4M5,Casual
11412,0h 21m 39s,5/14/2011 20:12,King St E / Jarvis St,7009,5/14/2011 20:34,King St W / Spadina Ave,7010,T01037,,Casual
11413,0h 21m 32s,5/14/2011 20:13,King St E / Jarvis St,7009,5/14/2011 20:34,King St W / Spadina Ave,7010,T01939,,Casual
11475,0h 4m 4s,5/15/2011 8:54,King St E / Jarvis St,7009,5/15/2011 8:58,Temperance St / Yonge St,7019,T01908,M5A1K5,Casual
11490,0h 14m 55s,5/15/2011 9:43,King St E / Jarvis St,7009,5/15/2011 9:58,Beverly  St / Dundas St W,7027,T01184,,Casual
11655,0h 5m 58s,5/15/2011 17:41,King St E / Jarvis St,7009,5/15/2011 17:47,Princess Ave / Adelaide St,7060,T01707,M5A 4M5,Casual
11654,0h 9m 31s,5/15/2011 17:41,King St E / Jarvis St,7009,5/15/2011 17:51,Edward St / Yonge St,7041,T01908,M5A 4M5,Casual
11715,0h 3m 20s,5/15/2011 22:55,King St E / Jarvis St,7009,5/15/2011 22:58,Bond St / Queen St E,7045,T01072,M5A 4M5,Casual
11734,0h 3m 30s,5/16/2011 6:51,King St E / Jarvis St,7009,5/16/2011 6:54,Temperance St / Yonge St,7019,T01437,M5A1K5,Casual
11890,0h 10m 30s,5/16/2011 13:56,King St E / Jarvis St,7009,5/16/2011 14:06,Queen St W / Spadina Ave,7069,T01193,M5H4C9,Subscriber
11944,0h 14m 2s,5/16/2011 16:17,King St E / Jarvis St,7009,5/16/2011 16:31,Bay St / Bloor St W,7029,T01072,M5S2W8,Casual
11997,0h 7m 26s,5/16/2011 17:41,King St E / Jarvis St,7009,5/16/2011 17:48,Dundas / Yonge St.,7038,T01375,M5V1Y5,Casual
12105,0h 9m 57s,5/16/2011 21:07,King St E / Jarvis St,7009,5/16/2011 21:17,King St W / Spadina Ave,7010,T01015,,Casual
12166,0h 4m 17s,5/17/2011 6:54,King St E / Jarvis St,7009,5/17/2011 6:59,Temperance St / Yonge St,7019,T01708,M5A1K5,Casual
12213,0h 4m 6s,5/17/2011 8:24,King St E / Jarvis St,7009,5/17/2011 8:28,Melinda St / Yonge St,7036,T01647,L5B4M2,Casual
12219,0h 10m 40s,5/17/2011 8:29,King St E / Jarvis St,7009,5/17/2011 8:40,University Ave / College St,7062,T01869,M4E2M8,Casual
12337,0h 15m 38s,5/17/2011 10:45,King St E / Jarvis St,7009,5/17/2011 11:01,Augusta Ave / Dundas St W,7032,T01978,M5A0B1,Casual
12417,0h 9m 33s,5/17/2011 13:04,King St E / Jarvis St,7009,5/17/2011 13:14,King St W / Spadina Ave,7010,T01762,M5V 0G1,Casual
12528,0h 5m 15s,5/17/2011 15:37,King St E / Jarvis St,7009,5/17/2011 15:42,Yonge St. / Lakeshore Ave. E.,7067,T01118,M5E1R4,Casual
12702,0h 3m 58s,5/17/2011 18:46,King St E / Jarvis St,7009,5/17/2011 18:50,Sherbourne / Carlton (Allan Gardens),7014,T01886,M5A 4M5,Casual
12838,0h 5m 18s,5/18/2011 6:44,King St E / Jarvis St,7009,5/18/2011 6:50,Sherbourne / Carlton (Allan Gardens),7014,T01763,M5A 4M8,Subscriber
12851,0h 12m 16s,5/18/2011 8:38,King St E / Jarvis St,7009,5/18/2011 8:50,Church St / Monteith St ,7058,T01334,M5A 4R2,Subscriber
12863,0h 6m 42s,5/18/2011 8:50,King St E / Jarvis St,7009,5/18/2011 8:57,Jarvis St / Carleton St,7055,T01015,M5A 4M5,Casual
12971,0h 10m 43s,5/18/2011 12:46,King St E / Jarvis St,7009,5/18/2011 12:57,Queen St W / Spadina Ave,7069,T01489,M5H4C9,Subscriber
13004,0h 4m 16s,5/18/2011 13:52,King St E / Jarvis St,7009,5/18/2011 13:56,Yonge St. / Lakeshore Ave. E.,7067,T01386,M5E1R4,Casual
13024,0h 9m 38s,5/18/2011 14:24,King St E / Jarvis St,7009,5/18/2011 14:34,Simcoe St / Dundas St W,7039,T01067,M5T 1L4,Casual
13041,0h 9m 53s,5/18/2011 14:46,King St E / Jarvis St,7009,5/18/2011 14:56,Widmer St / Adelaide St ,7017,T01797,,Casual
13048,0h 7m 8s,5/18/2011 15:02,King St E / Jarvis St,7009,5/18/2011 15:10,Jarvis St / Carleton St,7055,T01386,M4M1M5,Casual
13118,0h 2m 58s,5/18/2011 16:16,King St E / Jarvis St,7009,5/18/2011 16:19,Melinda St / Yonge St,7036,T01528,M5V1Y5,Casual
13143,0h 7m 49s,5/18/2011 16:35,King St E / Jarvis St,7009,5/18/2011 16:43,Sherbourne St / Wellesley St,7042,T01254,M5B2P7,Casual
13141,0h 8m 24s,5/18/2011 16:35,King St E / Jarvis St,7009,5/18/2011 16:43,Sherbourne St / Wellesley St,7042,T01125,M5B2P7,Casual
13253,0h 14m 22s,5/18/2011 17:24,King St E / Jarvis St,7009,5/18/2011 17:39,Queens Quay W / Dan Leckie Way,7075,T01703,M5V3K8,Casual
13377,0h 21m 16s,5/18/2011 18:12,King St E / Jarvis St,7009,5/18/2011 18:33,Bay St / Bloor St W,7029,T01446,M6P2R3,Subscriber
13576,0h 11m 43s,5/18/2011 21:02,King St E / Jarvis St,7009,5/18/2011 21:14,York St / Queens Quay W,7076,T01320,M5J2Y2,Subscriber
13824,0h 6m 56s,5/19/2011 9:36,King St E / Jarvis St,7009,5/19/2011 9:43,Princess Ave / Adelaide St,7060,T01292,M5A 4P9,Casual
13882,0h 21m 8s,5/19/2011 10:27,King St E / Jarvis St,7009,5/19/2011 10:48,Augusta Ave / Dundas St W,7032,T01472,M5A0B1,Subscriber
13881,0h 17m 36s,5/19/2011 10:27,King St E / Jarvis St,7009,5/19/2011 10:44,Augusta Ave / Dundas St W,7032,T01740,M5A0B1,Casual
13894,0h 10m 15s,5/19/2011 10:40,King St E / Jarvis St,7009,5/19/2011 10:50,University Ave / Gerrard St W,7047,T01995,,Casual
13900,0h 11m 44s,5/19/2011 10:50,King St E / Jarvis St,7009,5/19/2011 11:02,Front St W / Blue Jays Way,7059,T01457,,Casual
13982,0h 17m 29s,5/19/2011 12:17,King St E / Jarvis St,7009,5/19/2011 12:34,Huron St / Harbord St ,7024,T01504,M5A 4M5,Casual
14249,0h 5m 1s,5/19/2011 15:27,King St E / Jarvis St,7009,5/19/2011 15:32,Yonge St. / Lakeshore Ave. E.,7067,T01221,M5E1R4,Casual
14381,0h 12m 15s,5/19/2011 16:43,King St E / Jarvis St,7009,5/19/2011 16:56,Temperance St / Yonge St,7019,T01941,M5V 3T6,Casual
14453,0h 17m 5s,5/19/2011 17:20,King St E / Jarvis St,7009,5/19/2011 17:37,Queens Quay W / Dan Leckie Way,7075,T01656,M5V3K8,Casual
14491,0h 3m 24s,5/19/2011 17:32,King St E / Jarvis St,7009,5/19/2011 17:36,Melinda St / Yonge St,7036,T01995,M5V1Y5,Casual
14733,0h 11m 11s,5/19/2011 19:01,King St E / Jarvis St,7009,5/19/2011 19:12,Navy Wharf Ct. / Bremner Blvd.,7054,T01642,,Casual
14856,0h 14m 41s,5/19/2011 20:19,King St E / Jarvis St,7009,5/19/2011 20:33,College St / Borden St,7023,T01989,M4Y 1K1,Casual
14855,0h 6m 58s,5/19/2011 20:19,King St E / Jarvis St,7009,5/19/2011 20:26,Widmer St / Adelaide St ,7017,T01772,M5E02A,Casual
14979,0h 5m 24s,5/19/2011 21:32,King St E / Jarvis St,7009,5/19/2011 21:37,Dundas / Yonge St.,7038,T01352,M5E02A,Casual
14991,0h 3m 24s,5/19/2011 21:43,King St E / Jarvis St,7009,5/19/2011 21:46,Melinda St / Yonge St,7036,T02001,M5A 4P9,Casual
15044,0h 8m 40s,5/19/2011 22:22,King St E / Jarvis St,7009,5/19/2011 22:31,Bathurst St / Dundas St,7037,T01929,M5A2T3,Casual
15087,0h 8m 14s,5/19/2011 23:16,King St E / Jarvis St,7009,5/19/2011 23:24,Granby St / Yonge St,7077,T01352,M5E02A,Casual
15226,0h 3m 40s,5/20/2011 7:02,King St E / Jarvis St,7009,5/20/2011 7:06,Sherbourne / Carlton (Allan Gardens),7014,T01330,M5A 4P4,Casual
15489,0h 10m 10s,5/20/2011 9:52,King St E / Jarvis St,7009,5/20/2011 10:02,Simcoe St / Wellington St W,7057,T01934,M5A4R4,Casual
