ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
1939554,0h 6m 8s,4/26/2014 14:19,Bathurst St / Dundas St,7037,4/26/2014 14:25,Niagara St./Queen W. (Richmond),7046,T01979,,Casual
1940645,3h 22m 27s,4/27/2014 14:18,Niagara St./Queen W. (Richmond),7046,4/27/2014 17:41,Niagara St./Queen W. (Richmond),7046,T01979,,Casual
1942005,0h 8m 34s,4/28/2014 12:04,Niagara St./Queen W. (Richmond),7046,4/28/2014 12:13,Augusta Ave / Dundas St W,7032,T01979,,Casual
1942426,0h 7m 37s,4/28/2014 16:19,Augusta Ave / Dundas St W,7032,4/28/2014 16:27,Huron St / Harbord St ,7024,T01979,,Casual
1943161,0h 3m 56s,4/28/2014 21:36,Huron St / Harbord St ,7024,4/28/2014 21:40,Madison Ave / Bloor St W,7003,T01979,,Casual
1943468,0h 14m 7s,4/29/2014 8:31,Madison Ave / Bloor St W,7003,4/29/2014 8:45,Melinda St / Yonge St,7036,T01979,M5S 1W4,Registered
1943713,0h 1m 34s,4/29/2014 17:25,Melinda St / Yonge St,7036,4/29/2014 17:27,Scott St / The Esplanade,7013,T01979,M5E 1W5,Registered
1943812,0h 16m 7s,4/29/2014 18:24,Scott St / The Esplanade,7013,4/29/2014 18:40,Bathurst / Queens Quay (Island Airport),7071,T01979,M6P2C7,Registered
1946771,0h 8m 6s,5/2/2014 7:02,Bathurst / Queens Quay (Island Airport),7071,5/2/2014 7:10,Simcoe St / Wellington St W,7057,T01979,L1S5W2,Registered
1947611,0h 5m 59s,5/2/2014 15:15,Simcoe St / Wellington St W,7057,5/2/2014 15:21,King St E / Jarvis St,7009,T01979,M5E1Z5,Registered
1947977,0h 4m 27s,5/2/2014 17:34,King St E / Jarvis St,7009,5/2/2014 17:39,Yonge St. / Lakeshore Ave. E.,7067,T01979,M5J2Y7,Registered
1949440,0h 21m 28s,5/4/2014 9:30,Yonge St. / Lakeshore Ave. E.,7067,5/4/2014 9:52,Yonge St. / Lakeshore Ave. E.,7067,T01979,,Casual
1949487,1h 15m 49s,5/4/2014 10:05,Yonge St. / Lakeshore Ave. E.,7067,5/4/2014 11:21,Bathurst / Queens Quay (Island Airport),7071,T01979,,Casual
1949699,0h 20m 50s,5/4/2014 12:21,Bathurst / Queens Quay (Island Airport),7071,5/4/2014 12:42,Queen St / Portland St,7049,T01979,M5V 2Y9,Registered
1949779,0h 14m 43s,5/4/2014 12:55,Queen St / Portland St,7049,5/4/2014 13:10,Bathurst / Queens Quay (Island Airport),7071,T01979,M5V 2Y9,Registered
1949850,0h 16m 52s,5/4/2014 13:35,Bathurst / Queens Quay (Island Airport),7071,5/4/2014 13:52,Wellington St W / Bay St,7052,T01979,M5R 1V4,Registered
1949884,0h 23m 41s,5/4/2014 13:55,Wellington St W / Bay St,7052,5/4/2014 14:19,Sherbourne St / Wellesley St,7042,T01979,M5R 1V4,Registered
1950853,0h 11m 33s,5/5/2014 8:23,Sherbourne St / Wellesley St,7042,5/5/2014 8:34,Dockside Dr / Queens Quay E.,7068,T01979,M4X1G5,Registered
1952289,0h 3m 3s,5/5/2014 19:36,Dockside Dr / Queens Quay E.,7068,5/5/2014 19:39,Ferry Ramp / Queens Quay W,7016,T01979,M5J2G2,Registered
1952352,0h 30m 56s,5/5/2014 20:14,Ferry Ramp / Queens Quay W,7016,5/5/2014 20:45,Ferry Ramp / Queens Quay W,7016,T01979,,Casual
1952807,0h 11m 16s,5/6/2014 8:38,Ferry Ramp / Queens Quay W,7016,5/6/2014 8:49,King St W / Spadina Ave,7010,T01979,M5J2G2,Registered
1953752,0h 12m 42s,5/6/2014 16:57,King St W / Spadina Ave,7010,5/6/2014 17:10,Lower Jarvis St / The Esplanade,7001,T01979,M5J2G2,Registered
