ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
231076,0h 9m 18s,8/21/2011 21:41,Niagara St./Queen W. (Richmond),7046,8/21/2011 21:51,Jarvis St / Isabella St,7031,C00113,M4Y 2G6,Casual
231340,9h 45m 27s,8/22/2011 8:06,Jarvis St / Isabella St,7031,8/22/2011 17:52,Jarvis St / Isabella St,7031,C00113,,Casual
232821,0h 23m 2s,8/22/2011 18:01,Jarvis St / Isabella St,7031,8/22/2011 18:24,Madison Ave / Bloor St W,7003,C00113,,Casual
232995,0h 9m 49s,8/22/2011 18:46,Madison Ave / Bloor St W,7003,8/22/2011 18:56,Bay St / College St,7006,C00113,M5R2W8,Casual
233127,0h 7m 31s,8/22/2011 19:46,Bay St / College St,7006,8/22/2011 19:54,College St / Major St,7078,C00113,ON,Casual
233340,0h 0m 19s,8/22/2011 22:13,College St / Major St,7078,8/22/2011 22:13,College St / Major St,7078,C00113,M4Y3G5,Casual
233346,0h 10m 16s,8/22/2011 22:17,College St / Major St,7078,8/22/2011 22:27,Granby St / Yonge St,7077,C00113,,Casual
233539,0h 24m 37s,8/23/2011 6:29,Granby St / Yonge St,7077,8/23/2011 6:54,Trinity / Front (Distillery),7064,C00113,,Casual
234365,0h 35m 3s,8/23/2011 12:12,Trinity / Front (Distillery),7064,8/23/2011 12:47,Trinity / Front (Distillery),7064,C00113,M1B3R9,Casual
234478,0h 18m 35s,8/23/2011 12:53,Trinity / Front (Distillery),7064,8/23/2011 13:11,University Ave / Elm St,7004,C00113,M1B3R9,Casual
234914,0h 17m 30s,8/23/2011 15:52,University Ave / Elm St,7004,8/23/2011 16:10,Ted Rogers Way / Bloor St E,7025,C00113,,Casual
234996,0h 14m 9s,8/23/2011 16:16,Ted Rogers Way / Bloor St E,7025,8/23/2011 16:30,Front/Yonge (Hockey Hall of Fame),7048,C00113,L4H2M7,Casual
235914,0h 11m 5s,8/23/2011 20:38,Front/Yonge (Hockey Hall of Fame),7048,8/23/2011 20:49,King St W / Spadina Ave,7010,C00113,M6S 1N7,Casual
235949,0h 7m 56s,8/23/2011 21:04,King St W / Spadina Ave,7010,8/23/2011 21:12,King St W / Bay St,7015,C00113,,Casual
236981,0h 3m 15s,8/24/2011 13:14,King St W / Bay St,7015,8/24/2011 13:18,Metro Hall Plaza,7053,C00113,M5V3P5,Casual
237073,0h 2m 37s,8/24/2011 14:17,Metro Hall Plaza,7053,8/24/2011 14:20,King St W / Bay St,7015,C00113,M5V3P5,Casual
237151,0h 8m 2s,8/24/2011 15:07,King St W / Bay St,7015,8/24/2011 15:15,Queen St W / Shaw St,7072,C00113,M5V3Z1,Casual
237344,0h 4m 57s,8/24/2011 16:26,Queen St W / Shaw St,7072,8/24/2011 16:31,Queen St / Ossington Ave,7035,C00113,M5T2G6,Casual
237497,0h 13m 42s,8/24/2011 17:04,Queen St / Ossington Ave,7035,8/24/2011 17:18,Front/Yonge (Hockey Hall of Fame),7048,C00113,L5B4E6,Casual
237625,0h 7m 31s,8/24/2011 17:32,Front/Yonge (Hockey Hall of Fame),7048,8/24/2011 17:40,Lower Jarvis St / The Esplanade,7001,C00113,M5V3R7,Casual
238061,0h 5m 26s,8/24/2011 19:59,Lower Jarvis St / The Esplanade,7001,8/24/2011 20:05,Yonge St. / Lakeshore Ave. E.,7067,C00113,M5E 1Z8,Casual
238908,0h 9m 17s,8/25/2011 11:21,Yonge St. / Lakeshore Ave. E.,7067,8/25/2011 11:30,Widmer St / Adelaide St ,7017,C00113,M5E 1Z8,Casual
