ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
1117951,0h 5m 11s,11/6/2012 17:06,Bay St / Wellesley St W,7030,11/6/2012 17:11,Bay St / Albert St,7021,t09991,M5V 2L2,Subscriber
1118288,0h 5m 5s,11/6/2012 18:59,Bay St / Albert St,7021,11/6/2012 19:04,Bay St / Wellesley St W,7030,t09991,M4Y3G4,Subscriber
1118351,0h 3m 59s,11/6/2012 19:29,Bay St / Wellesley St W,7030,11/6/2012 19:33,Bay St / Bloor St W,7029,t09991,M8Z1R8,Subscriber
1118383,0h 2m 50s,11/6/2012 19:44,Bay St / Bloor St W,7029,11/6/2012 19:46,Ted Rogers Way / Bloor St E,7025,t09991,M6G 1R7,Subscriber
1118609,0h 5m 33s,11/7/2012 5:29,Ted Rogers Way / Bloor St E,7025,11/7/2012 5:35,Bay St / College St,7006,t09991,M4W3M4,Subscriber
1118627,0h 2m 58s,11/7/2012 6:30,Bay St / College St,7006,11/7/2012 6:33,Dundas / Yonge St.,7038,t09991,M5G 2R3,Subscriber
1118839,0h 7m 23s,11/7/2012 8:16,Dundas / Yonge St.,7038,11/7/2012 8:23,Phoebe St / Spadina Ave,7020,t09991,M5V2L3,Subscriber
1118878,0h 7m 20s,11/7/2012 8:25,Phoebe St / Spadina Ave,7020,11/7/2012 8:32,Simcoe St / Wellington St W,7057,t09991,M4E3J1,Subscriber
1119099,0h 19m 23s,11/7/2012 9:05,Simcoe St / Wellington St W,7057,11/7/2012 9:24,Trinity / Front (Distillery),7064,t09991,M5A 4T3,Subscriber
1119853,0h 15m 55s,11/7/2012 16:42,Trinity / Front (Distillery),7064,11/7/2012 16:58,King St W / Spadina Ave,7010,t09991,M5A1L8,Subscriber
1119965,0h 11m 33s,11/7/2012 17:10,King St W / Spadina Ave,7010,11/7/2012 17:22,Huron St / Harbord St ,7024,t09991,M5V3T9,Subscriber
1120025,0h 5m 55s,11/7/2012 17:23,Huron St / Harbord St ,7024,11/7/2012 17:29,Beverly  St / Dundas St W,7027,t09991,M5J 2G2,Subscriber
1120155,0h 2m 43s,11/7/2012 17:56,Beverly  St / Dundas St W,7027,11/7/2012 17:59,College St / Huron St,7007,t09991,M5T 2B6,Subscriber
1120239,0h 7m 21s,11/7/2012 18:23,College St / Huron St,7007,11/7/2012 18:30,Simcoe St / Wellington St W,7057,t09991,L1T 2M4,Subscriber
1120257,0h 6m 19s,11/7/2012 18:31,Simcoe St / Wellington St W,7057,11/7/2012 18:37,Wellington St / Portland St,7011,t09991,M5V 1C3,Subscriber
1120315,0h 13m 24s,11/7/2012 18:57,Wellington St / Portland St,7011,11/7/2012 19:10,King St E / Jarvis St,7009,t09991,M5A4E8,Subscriber
1120349,0h 5m 7s,11/7/2012 19:12,King St E / Jarvis St,7009,11/7/2012 19:17,Trinity / Front (Distillery),7064,t09991,M5V4A2,Subscriber
1120521,0h 15m 11s,11/7/2012 21:09,Trinity / Front (Distillery),7064,11/7/2012 21:24,Bathurst / Queens Quay (Island Airport),7071,t09991,M5V4A2,Subscriber
1121089,0h 16m 45s,11/8/2012 8:52,Bathurst / Queens Quay (Island Airport),7071,11/8/2012 9:09,Beverly  St / Dundas St W,7027,t09991,M5V3N2,Subscriber
1122294,0h 2m 34s,11/8/2012 18:05,Beverly  St / Dundas St W,7027,11/8/2012 18:08,Queen St W / Spadina Ave,7069,t09991,M5V0A8,Subscriber
1122341,0h 2m 39s,11/8/2012 18:18,Queen St W / Spadina Ave,7069,11/8/2012 18:21,Beverly  St / Dundas St W,7027,t09991,M2N7L8,Subscriber
1122419,0h 6m 2s,11/8/2012 18:52,Beverly  St / Dundas St W,7027,11/8/2012 18:58,Willcocks St / St. George St,7066,t09991,L7E 3W3,Subscriber
1122598,0h 7m 48s,11/8/2012 20:46,Willcocks St / St. George St,7066,11/8/2012 20:54,Bay St / Bloor St W,7029,t09991,,Casual
1122770,0h 8m 58s,11/9/2012 5:17,Bay St / Bloor St W,7029,11/9/2012 5:26,Queen St W / Spadina Ave,7069,t09991,M4Y1R6,Subscriber
1122892,0h 9m 19s,11/9/2012 7:49,Queen St W / Spadina Ave,7069,11/9/2012 7:58,University Ave / College St,7062,t09991,M5V 3S6,Subscriber
1123014,0h 6m 46s,11/9/2012 8:21,University Ave / College St,7062,11/9/2012 8:28,Widmer St / Adelaide St ,7017,t09991,M4K 2Z7,Subscriber
1123664,0h 8m 18s,11/9/2012 13:01,Widmer St / Adelaide St ,7017,11/9/2012 13:10,Bay St / Albert St,7021,t09991,M4Y 2W4,Subscriber
