ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
98,0h 5m 59s,5/4/2011 0:34,Church St / Bloor St E,7034,5/4/2011 0:40,Ted Rogers Way / Bloor St E,7025,T01790,M4W 3Y3,Casual
121,0h 11m 8s,5/4/2011 8:35,Spadina Ave / Sussex Ave,7074,5/4/2011 8:46,Ted Rogers Way / Bloor St E,7025,T01034,,Casual
291,1h 37m 9s,5/4/2011 14:44,College St / Borden St,7023,5/4/2011 16:21,Ted Rogers Way / Bloor St E,7025,T01514,,Casual
384,0h 0m 11s,5/4/2011 17:00,Ted Rogers Way / Bloor St E,7025,5/4/2011 17:00,Ted Rogers Way / Bloor St E,7025,T01054,M4C 2E8,Subscriber
433,0h 21m 37s,5/4/2011 17:23,Ft. York / Capreol Crt.,7000,5/4/2011 17:44,Ted Rogers Way / Bloor St E,7025,T01183,M6P2R6,Casual
726,0h 34m 10s,5/4/2011 22:41,Front St W / Blue Jays Way,7059,5/4/2011 23:15,Ted Rogers Way / Bloor St E,7025,T01832,,Casual
774,0h 6m 3s,5/5/2011 4:11,Church St / Bloor St E,7034,5/5/2011 4:17,Ted Rogers Way / Bloor St E,7025,T01181,M4W3Y3,Casual
951,0h 34m 35s,5/5/2011 11:51,Church St / Bloor St E,7034,5/5/2011 12:26,Ted Rogers Way / Bloor St E,7025,T01016,M6S 3N4,Casual
990,0h 32m 53s,5/5/2011 12:35,Ted Rogers Way / Bloor St E,7025,5/5/2011 13:08,Ted Rogers Way / Bloor St E,7025,T01790,M6S 3N4,Casual
1043,0h 19m 42s,5/5/2011 13:07,Bond St / Queen St E,7045,5/5/2011 13:26,Ted Rogers Way / Bloor St E,7025,T02028,M4W3Y3,Casual
1132,0h 3m 8s,5/5/2011 14:24,Church St / Bloor St E,7034,5/5/2011 14:27,Ted Rogers Way / Bloor St E,7025,T01590,M6H 3E2,Subscriber
1186,5h 29m 31s,5/5/2011 15:29,Ted Rogers Way / Bloor St E,7025,5/5/2011 20:58,Ted Rogers Way / Bloor St E,7025,T01590,,Casual
1185,5h 29m 17s,5/5/2011 15:29,Ted Rogers Way / Bloor St E,7025,5/5/2011 20:58,Ted Rogers Way / Bloor St E,7025,T01181,,Casual
1491,0h 3m 44s,5/5/2011 19:19,Bay St / Bloor St W,7029,5/5/2011 19:23,Ted Rogers Way / Bloor St E,7025,T01938,M4W3M3,Casual
1542,0h 1m 48s,5/5/2011 19:56,Church St / Bloor St E,7034,5/5/2011 19:58,Ted Rogers Way / Bloor St E,7025,T01778,M6P4J6,Casual
1548,2h 14m 47s,5/5/2011 20:05,Ted Rogers Way / Bloor St E,7025,5/5/2011 22:20,Ted Rogers Way / Bloor St E,7025,T01778,,Casual
1669,0h 29m 11s,5/5/2011 22:55,Navy Wharf Ct. / Bremner Blvd.,7054,5/5/2011 23:25,Ted Rogers Way / Bloor St E,7025,T01243,M4K1N2,Casual
1958,0h 7m 25s,5/6/2011 11:44,Bay St / College St,7006,5/6/2011 11:51,Ted Rogers Way / Bloor St E,7025,T01024,L4B 4H1,Casual
2025,0h 10m 30s,5/6/2011 13:13,Bathurst St / Dundas St,7037,5/6/2011 13:23,Ted Rogers Way / Bloor St E,7025,T01054,M5A 0B9,Casual
2267,0h 40m 57s,5/6/2011 18:08,Queen St W / Shaw St,7072,5/6/2011 18:49,Ted Rogers Way / Bloor St E,7025,T01296,,Casual
2289,0h 8m 22s,5/6/2011 18:31,Bathurst St / Dundas St,7037,5/6/2011 18:39,Ted Rogers Way / Bloor St E,7025,T01818,M5A 1K9,Casual
2300,0h 19m 53s,5/6/2011 18:46,Dockside Dr / Queens Quay E.,7068,5/6/2011 19:06,Ted Rogers Way / Bloor St E,7025,T01186,,Casual
2368,39h 35m 6s,5/6/2011 20:22,Front/Yonge (Hockey Hall of Fame),7048,5/8/2011 11:57,Ted Rogers Way / Bloor St E,7025,T01373,M4P1T7,Casual
2422,0h 16m 21s,5/6/2011 21:34,Church St / Monteith St ,7058,5/6/2011 21:51,Ted Rogers Way / Bloor St E,7025,T01348,,Casual
2509,0h 3m 1s,5/6/2011 23:59,Navy Wharf Ct. / Bremner Blvd.,7054,5/7/2011 0:02,Ted Rogers Way / Bloor St E,7025,T02014,M4W3M3,Casual
2814,3h 47m 16s,5/7/2011 12:19,Ted Rogers Way / Bloor St E,7025,5/7/2011 16:07,Ted Rogers Way / Bloor St E,7025,T01348,,Casual
